time,maxMag,sampleCount,perSampleInterval_ms,maxDelta1,maxDelta2,nearestRecentCount,deduped
46566.80000000005,2044,8,13.47500000000582,2120,148,13,False
46567.10000000009,2044,8,20,2120,148,14,True
47336.60000000009,2044,8,16.525000000023283,2244,284,15,False
47336.89999999991,2044,8,20,2244,284,16,True
47648.80000000005,2044,8,15.5625,2076,156,13,False
47649.10000000009,2044,8,20,2076,156,14,True
56974,1288,8,28.27499999999418,180,364,11,False
56974.30000000005,1288,8,20,180,364,12,True
61079.80000000005,1000,8,46.46249999999418,408,576,11,False
61080,1000,8,20,408,576,12,True
65405.5,1052,8,27.4375,124,264,11,False
65405.69999999995,1052,8,20,124,264,12,True
67157.6000000001,1112,8,43.45000000001164,92,176,11,False
67157.80000000005,1112,8,20,92,176,12,True
67284.19999999995,1320,8,15.799999999988358,168,204,11,False
67284.5,1320,8,20,168,204,12,True
68830.6000000001,1504,8,11.700000000011642,388,288,13,False
68830.8999999999,1504,8,20,388,288,14,True
69001.3999999999,1948,8,21.3125,308,276,13,False
69001.80000000005,1948,8,20,308,276,14,True
69777,1892,8,7.75,1872,2072,13,False
69777.30000000005,1892,8,20,1872,2072,14,True
70551.1000000001,1960,8,21.45000000001164,332,288,11,False
70551.3999999999,1960,8,20,332,288,12,True
70678.30000000005,1824,8,15.862500000017462,204,144,13,False
70678.6000000001,1824,8,20,204,144,14,True
71257.6000000001,2016,8,38.02500000002328,1680,1608,13,False
71257.80000000005,2016,8,20,1680,1608,14,True
71374.1000000001,1972,8,14.53750000000582,620,564,13,False
71374.3999999999,1972,8,20,620,564,14,True
72589.69999999995,1060,8,21.78750000000582,392,1024,13,False
72589.8999999999,1060,8,20,392,1024,14,True
72657.69999999995,1392,8,8.47500000000582,984,948,13,False
72658,1392,8,20,984,948,14,True
73072,1840,8,27.97500000000582,468,616,13,False
73072.30000000005,1840,8,20,468,616,14,True
73191.69999999995,1752,8,14.924999999988358,128,176,13,False
73192,1752,8,20,128,176,14,True
73805.8999999999,2016,8,15.33749999999418,1184,1160,13,False
73806.1000000001,2016,8,20,1184,1160,14,True
74033.80000000005,1988,8,28.46249999999418,808,740,13,False
74034.1000000001,1988,8,20,808,740,14,True
75770,1964,8,17.27499999999418,1952,1316,13,False
75770.19999999995,1964,8,20,1952,1316,14,True
75907.8999999999,1604,8,17.21249999999418,1332,1224,11,False
75908.1000000001,1604,8,20,1332,1224,12,True
76187.6000000001,2008,8,20.78750000000582,432,508,13,False
76187.80000000005,2008,8,20,432,508,14,True
76417.8999999999,1384,8,28.762499999982538,204,192,13,False
76418.19999999995,1384,8,20,204,192,14,True
77385.3999999999,2008,8,29.262499999982538,1748,1708,13,False
77385.6000000001,2008,8,20,1748,1708,14,True
77585.6000000001,2008,8,25,756,680,13,False
77585.80000000005,2008,8,20,756,680,14,True
77737.19999999995,1124,8,18.92499999998836,396,388,13,False
77737.5,1124,8,20,396,388,14,True
84255.1000000001,1280,8,17.66250000000582,192,284,13,False
84255.3999999999,1280,8,20,192,284,14,True
84853.30000000005,1584,8,21.13750000001164,444,536,13,False
84853.5,1584,8,20,444,536,14,True
84976.3999999999,1216,8,15.362499999988358,500,532,13,False
84976.6000000001,1216,8,20,500,532,14,True
85645.5,1224,8,26.53750000000582,100,76,13,False
85645.69999999995,1224,8,20,100,76,14,True
85931.6000000001,1248,8,13.137500000011642,316,272,13,False
85931.80000000005,1248,8,20,316,272,14,True
86046.80000000005,1232,8,14.375,292,324,13,False
86047,1232,8,20,292,324,14,True
86728.30000000005,1236,8,27.28750000000582,192,232,13,False
86728.6000000001,1236,8,20,192,232,14,True
86890.1000000001,1020,8,20.1875,316,272,13,False
86890.5,1020,8,20,316,272,14,True
87019.3999999999,1052,8,16.11249999998836,96,72,13,False
87019.6000000001,1052,8,20,96,72,14,True
89482.8999999999,1084,8,24.36249999998836,180,204,13,False
89483.19999999995,1084,8,20,180,204,14,True
